2026-03-06 10:21:08.365 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-03-06 10:21:08.426 [main] INFO  c.l.m.MybatisPlusLearningApplication - Starting MybatisPlusLearningApplication using Java 17.0.13 with PID 25908 (D:\Spring_Cloud\MybatisPlusLearning\target\classes started by 25516 in D:\Spring_Cloud)
2026-03-06 10:21:08.427 [main] DEBUG c.l.m.MybatisPlusLearningApplication - Running with Spring Boot v3.5.11, Spring v6.2.16
2026-03-06 10:21:08.427 [main] INFO  c.l.m.MybatisPlusLearningApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-06 10:21:09.618 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-06 10:21:09.629 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-06 10:21:09.630 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-06 10:21:09.631 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-06 10:21:09.705 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-06 10:21:09.706 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1231 ms
2026-03-06 10:21:10.583 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@a486d78
2026-03-06 10:21:10.747 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-06 10:21:10.765 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-06 10:21:10.773 [main] INFO  c.l.m.MybatisPlusLearningApplication - Started MybatisPlusLearningApplication in 3.077 seconds (process running for 4.026)
2026-03-06 10:21:10.777 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-03-06 10:21:10.777 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-03-06 10:30:49.711 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-06 10:30:49.923 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-06 10:44:31.380 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-03-06 10:44:31.444 [main] INFO  c.l.m.MybatisPlusLearningApplication - Starting MybatisPlusLearningApplication using Java 17.0.13 with PID 15864 (D:\Spring_Cloud\MybatisPlusLearning\target\classes started by 25516 in D:\Spring_Cloud)
2026-03-06 10:44:31.444 [main] DEBUG c.l.m.MybatisPlusLearningApplication - Running with Spring Boot v3.5.11, Spring v6.2.16
2026-03-06 10:44:31.444 [main] INFO  c.l.m.MybatisPlusLearningApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-06 10:44:34.375 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-06 10:44:34.421 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-06 10:44:34.424 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-06 10:44:34.425 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-06 10:44:34.728 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-06 10:44:34.728 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3202 ms
2026-03-06 10:44:37.638 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@a486d78
2026-03-06 10:44:38.050 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-06 10:44:38.104 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-06 10:44:38.117 [main] INFO  c.l.m.MybatisPlusLearningApplication - Started MybatisPlusLearningApplication in 7.385 seconds (process running for 8.29)
2026-03-06 10:44:38.123 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-03-06 10:44:38.124 [main] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-03-06 10:50:47.681 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-06 10:50:47.841 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
